TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-05-01 11:32:02.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:02.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:03.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:03.484,1.149294088869798,1.506180841786135,1.41960816753826,1.191014156804713,0.4433748194435739,1.051518344066292,1.138406955036575,0.407522271085567,0.9276189551881638,0.7670802491297296,0.9453516306964476,0.5256286833120613,0.3289458520492666,0.01206349952985006,0.03149032155586934,0.2977884557912879,-0.09109503855500017,-0.7460456843248607,-0.4615978501047478,0.1663169459060157,854.2124542124542,801.4285714285714,805.0549450549451,880,1032.307692307692,-0.308472,0.058899,0.963013,4.149628,-10.041351,-1.555176,1,2,1,1,2,65.000000
2019-05-01 11:32:04.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:04.474,1.149294088869798,1.37809421157145,1.13427495260923,1.191014156804713,0.4433748194435739,1.079034681102775,0.7058384228222436,0.407522271085567,0.9276189551881638,0.7442231255002629,0.7828834233544487,0.5256286833120613,0.3289458520492666,-0.08346583703856401,0.1080040536665651,0.2977884557912879,-0.09109503855500017,-0.6138547643818784,-0.310934021911465,0.1663169459060157,826.8131868131868,807.8754578754579,797.3992673992674,820.3663003663004,811.5018315018315,-0.297852,0.053284,0.961304,4.187012,-10.160980,-1.293488,1,2,1,1,2,65.000000
2019-05-01 11:32:05.475,1.149294088869798,0.8412554396946093,0.6911863657791061,1.191014156804713,0.4433748194435739,0.6420711534253185,0.6591129277353928,0.407522271085567,0.9276189551881638,0.4234529926688941,0.7755666017791436,0.5256286833120613,0.3289458520492666,-0.1016961821314651,0.03520854403673757,0.2977884557912879,-0.09109503855500017,-0.547102839349338,-0.2807122636307313,0.1663169459060157,817.1428571428571,810.2930402930403,807.4725274725275,822.3809523809524,1046.813186813187,-0.296265,0.054077,0.957947,3.671112,-10.146027,-2.130890,1,2,1,1,2,65.000000
2019-05-01 11:32:06.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:06.486,0.3085197624849962,0.525514587240095,0.3839784700991374,0.2893556532180921,0.1267198632487864,0.3674563812765381,0.2939423047050729,0.417752530100659,0.5831721153140825,0.3596324854587797,0.6280054652752948,0.7568429620930995,0.107878607155489,-0.07814578914291154,-0.09842291492000918,0.3743852672386377,-0.2985878337063778,-0.4586944247570756,-0.2114166271461185,-0.0856906567089282,814.3223443223443,813.1135531135532,809.8901098901099,815.5311355311355,1005.311355311355,-0.297485,0.054260,0.963318,4.366455,-9.839478,-1.637421,1,1,1,1,1,65.000000
2019-05-01 11:32:07.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:07.474,0.2083557622945468,0.8893919874173761,0.6735517790719215,0.3565284991999844,-0.09751014953513425,0.5930355496379276,0.5542737047467645,0.4529642541955954,0.2291508582356041,0.647586974782466,0.7243969548383812,0.7047500020309896,0.1004197015210087,0.01294650797675073,0.1104165233722735,0.422836214093999,-0.3361050379226946,-0.5088103092866398,-0.3769484505797033,-0.07642328125418749,817.5457875457876,814.3223443223443,811.0989010989011,823.5897435897436,757.1062271062272,-0.317688,0.054199,0.955017,4.059906,-7.716064,-0.710297,1,1,1,1,1,65.000000
2019-05-01 11:32:08.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:08.474,0.2083557622945468,0.877518207420926,0.8283016928610207,0.3565284991999844,-0.09751014953513425,0.5556071206890189,0.6671666496088958,0.4529642541955954,0.2291508582356041,0.5453603741512579,0.738676471903154,0.7047500020309896,0.1004197015210087,-0.1166948193828068,0.1214050342639059,0.422836214093999,-0.3361050379226946,-0.4107581556978991,-0.217475442481416,-0.07642328125418749,815.934065934066,809.8901098901099,802.6373626373627,826.4102564102565,998.8644688644689,-0.301819,0.053955,0.961182,4.456177,-9.660034,-2.362671,1,1,1,1,1,65.000000
2019-05-01 11:32:08.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
