Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.9480
'0:0:0.2,1.9466
'0:0:0.4,1.9453
'0:0:0.6,1.9438
'0:0:0.8,1.9433
'0:0:1.0,1.9414
'0:0:1.2,1.9399
'0:0:1.4,1.9383
'0:0:1.6,1.9369
'0:0:1.8,1.9352
'0:0:2.0,1.9350
'0:0:2.2,1.9341
'0:0:2.4,1.9324
'0:0:2.6,1.9305
'0:0:2.8,1.9286
'0:0:3.0,1.9276
'0:0:3.2,1.9251
'0:0:3.4,1.9234
'0:0:3.6,1.9218
'0:0:3.8,1.9207
'0:0:4.0,1.9192
'0:0:4.2,1.9176
'0:0:4.4,1.9161
'0:0:4.6,1.9145
'0:0:4.8,1.9133
'0:0:5.0,1.9121
'0:0:5.2,1.9108
'0:0:5.4,1.9093
'0:0:5.6,1.9078
'0:0:5.8,1.9061
'0:0:6.0,1.9044
'0:0:6.2,1.9030
'0:0:6.4,1.9012
'0:0:6.6,1.8996
'0:0:6.8,1.8987
'0:0:7.0,1.8978
'0:0:7.2,1.8964
'0:0:7.4,1.8950
'0:0:7.6,1.8940
'0:0:7.8,1.8923
'0:0:8.0,1.8906
'0:0:8.2,1.8888
'0:0:8.4,1.8877
'0:0:8.6,1.8860
'0:0:8.8,1.8842
'0:0:9.0,1.8827
'0:0:9.2,1.8808
'0:0:9.4,1.8790
'0:0:9.6,1.8775
'0:0:9.8,1.8761
'0:0:10.0,1.8743
'0:0:10.2,1.8730
'0:0:10.4,1.8711
'0:0:10.6,1.8699
'0:0:10.8,1.8687
'0:0:11.0,1.8674
'0:0:11.2,1.8657
'0:0:11.4,1.8640
'0:0:11.6,1.8624
'0:0:11.8,1.8612
'0:0:12.0,1.8594
'0:0:12.2,1.8579
'0:0:12.4,1.8562
'0:0:12.6,1.8546
'0:0:12.8,1.8529
'0:0:13.0,1.8516
'0:0:13.2,1.8501
'0:0:13.4,1.8484
'0:0:13.6,1.8471
'0:0:13.8,1.8456
'0:0:14.0,1.8438
'0:0:14.2,1.8426
'0:0:14.4,1.8409
'0:0:14.6,1.8393
'0:0:14.8,1.8377
'0:0:15.0,1.8357
'0:0:15.2,1.8344
'0:0:15.4,1.8331
'0:0:15.6,1.8314
'0:0:15.8,1.8299
'0:0:16.0,1.8288
'0:0:16.2,1.8277
'0:0:16.4,1.8265
'0:0:16.6,1.8252
'0:0:16.8,1.8236
'0:0:17.0,1.8219
'0:0:17.2,1.8206
'0:0:17.4,1.8190
'0:0:17.6,1.8175
'0:0:17.8,1.8159
'0:0:18.0,1.8144
'0:0:18.2,1.8129
'0:0:18.4,1.8116
'0:0:18.6,1.8099
'0:0:18.8,1.8087
'0:0:19.0,1.8075
'0:0:19.2,1.8060
'0:0:19.4,1.8044
'0:0:19.6,1.8033
'0:0:19.8,1.8021
'0:0:20.0,1.8009
'0:0:20.2,1.7996
'0:0:20.4,1.7984
'0:0:20.6,1.7970
'0:0:20.8,1.7952
'0:0:21.0,1.7941
'0:0:21.2,1.7925
'0:0:21.4,1.7913
'0:0:21.6,1.7900
'0:0:21.8,1.7887
'0:0:22.0,1.7872
'0:0:22.2,1.7858
'0:0:22.4,1.7845
'0:0:22.6,1.7829
'0:0:22.8,1.7814
'0:0:23.0,1.7803
'0:0:23.2,1.7789
'0:0:23.4,1.7774
'0:0:23.6,1.7756
'0:0:23.8,1.7743
'0:0:24.0,1.7732
'0:0:24.2,1.7720
'0:0:24.4,1.7710
'0:0:24.6,1.7693
'0:0:24.8,1.7681
'0:0:25.0,1.7664
'0:0:25.2,1.7650
'0:0:25.4,1.7634
'0:0:25.6,1.7624
'0:0:25.8,1.7611
'0:0:26.0,1.7604
'0:0:26.2,1.7589
'0:0:26.4,1.7572
'0:0:26.6,1.7556
'0:0:26.8,1.7542
'0:0:27.0,1.7526
'0:0:27.2,1.7515
'0:0:27.4,1.7505
'0:0:27.6,1.7498
'0:0:27.8,1.7486
'0:0:28.0,1.7478
'0:0:28.2,1.7466
'0:0:28.4,1.7456
'0:0:28.6,1.7445
'0:0:28.8,1.7429
'0:0:29.0,1.7415
'0:0:29.2,1.7401
'0:0:29.4,1.7387
'0:0:29.6,1.7368
'0:0:29.8,1.7356
'0:0:30.0,1.7340
'0:0:30.2,1.7324
'0:0:30.4,1.7307
'0:0:30.6,1.7292
'0:0:30.8,1.7276
'0:0:31.0,1.7264
'0:0:31.2,1.7248
'0:0:31.4,1.7233
'0:0:31.6,1.7216
'0:0:31.8,1.7203
'0:0:32.0,1.7189
'0:0:32.2,1.7174
'0:0:32.4,1.7160
'0:0:32.6,1.7146
'0:0:32.8,1.7129
'0:0:33.0,1.7116
'0:0:33.2,1.7102
'0:0:33.4,1.7090
'0:0:33.6,1.7076
'0:0:33.8,1.7063
'0:0:34.0,1.7049
'0:0:34.2,1.7037
'0:0:34.4,1.7023
'0:0:34.6,1.7007
'0:0:34.8,1.6992
'0:0:35.0,1.6977
'0:0:35.2,1.6961
'0:0:35.4,1.6945
'0:0:35.6,1.6929
'0:0:35.8,1.6914
'0:0:36.0,1.6899
'0:0:36.2,1.6884
'0:0:36.4,1.6866
'0:0:36.6,1.6851
'0:0:36.8,1.6833
'0:0:37.0,1.6816
'0:0:37.2,1.6801
'0:0:37.4,1.6782
'0:0:37.6,1.6764
'0:0:37.8,1.6749
'0:0:38.0,1.6732
'0:0:38.2,1.6716
'0:0:38.4,1.6699
'0:0:38.6,1.6683
'0:0:38.8,1.6670
'0:0:39.0,1.6655
'0:0:39.2,1.6639
'0:0:39.4,1.6625
'0:0:39.6,1.6609
'0:0:39.8,1.6590
'0:0:40.0,1.6571
'0:0:40.2,1.6554
'0:0:40.4,1.6538
'0:0:40.6,1.6526
'0:0:40.8,1.6507
'0:0:41.0,1.6493
'0:0:41.2,1.6477
'0:0:41.4,1.6459
'0:0:41.6,1.6440
'0:0:41.8,1.6425
'0:0:42.0,1.6408
'0:0:42.2,1.6392
'0:0:42.4,1.6377
'0:0:42.6,1.6365
'0:0:42.8,1.6351
'0:0:43.0,1.6342
'0:0:43.2,1.6335
'0:0:43.4,1.6328
'0:0:43.6,1.6317
'0:0:43.8,1.6312
'0:0:44.0,1.6301
'0:0:44.2,1.6291
'0:0:44.4,1.6278
'0:0:44.6,1.6264
'0:0:44.8,1.6249
'0:0:45.0,1.6234
'0:0:45.2,1.6219
'0:0:45.4,1.6201
'0:0:45.6,1.6187
'0:0:45.8,1.6167
'0:0:46.0,1.6153
'0:0:46.2,1.6135
'0:0:46.4,1.6118
'0:0:46.6,1.6097
'0:0:46.8,1.6078
'0:0:47.0,1.6061
'0:0:47.2,1.6042
'0:0:47.4,1.6026
'0:0:47.6,1.6008
'0:0:47.8,1.5992
'0:0:48.0,1.5973
'0:0:48.2,1.5958
'0:0:48.4,1.5939
'0:0:48.6,1.5918
'0:0:48.8,1.5898
'0:0:49.0,1.5886
'0:0:49.2,1.5871
'0:0:49.4,1.5853
'0:0:49.6,1.5838
'0:0:49.8,1.5822
'0:0:50.0,1.5805
'0:0:50.2,1.5785
'0:0:50.4,1.5766
'0:0:50.6,1.5747
'0:0:50.8,1.5733
'0:0:51.0,1.5721
'0:0:51.2,1.5706
'0:0:51.4,1.5686
'0:0:51.6,1.5668
'0:0:51.8,1.5650
'0:0:52.0,1.5637
'0:0:52.2,1.5621
'0:0:52.4,1.5603
'0:0:52.6,1.5590
'0:0:52.8,1.5572
'0:0:53.0,1.5554
'0:0:53.2,1.5533
'0:0:53.4,1.5517
'0:0:53.6,1.5501
'0:0:53.8,1.5480
'0:0:54.0,1.5462
'0:0:54.2,1.5446
'0:0:54.4,1.5431
'0:0:54.6,1.5408
'0:0:54.8,1.5390
'0:0:55.0,1.5371
'0:0:55.2,1.5354
'0:0:55.4,1.5332
'0:0:55.6,1.5313
'0:0:55.8,1.5293
'0:0:56.0,1.5274
'0:0:56.2,1.5256
'0:0:56.4,1.5238
'0:0:56.6,1.5220
'0:0:56.8,1.5204
'0:0:57.0,1.5184
'0:0:57.2,1.5165
'0:0:57.4,1.5145
'0:0:57.6,1.5126
'0:0:57.8,1.5105
'0:0:58.0,1.5086
'0:0:58.2,1.5067
'0:0:58.4,1.5048
'0:0:58.6,1.5028
'0:0:58.8,1.5008
'0:0:59.0,1.4987
'0:0:59.2,1.4969
'0:0:59.4,1.4950
'0:0:59.6,1.4931
'0:0:59.8,1.4913
'0:1:0.0,1.4896
'0:1:0.2,1.4881
'0:1:0.4,1.4865
'0:1:0.6,1.4850
'0:1:0.8,1.4835
'0:1:1.0,1.4820
'0:1:1.2,1.4805
'0:1:1.4,1.4792
'0:1:1.6,1.4776
'0:1:1.8,1.4759
'0:1:2.0,1.4742
'0:1:2.2,1.4723
'0:1:2.4,1.4702
'0:1:2.6,1.4683
'0:1:2.8,1.4664
'0:1:3.0,1.4645
'0:1:3.2,1.4623
'0:1:3.4,1.4604
'0:1:3.6,1.4587
'0:1:3.8,1.4566
'0:1:4.0,1.4545
'0:1:4.2,1.4525
'0:1:4.4,1.4506
'0:1:4.6,1.4488
'0:1:4.8,1.4468
'0:1:5.0,1.4433
'0:1:5.2,1.4416
'0:1:5.4,1.4412
'0:1:5.6,1.4372
'0:1:5.8,1.4383
'0:1:6.0,1.4282
'0:1:6.2,1.4796
'0:1:6.4,1.4316
'0:1:6.6,1.4036
'0:1:6.8,1.3776
'0:1:7.0,1.3887
'0:1:7.2,1.3860
'0:1:7.4,1.4024
'0:1:7.6,1.3784
'0:1:7.8,1.4001
'0:1:8.0,1.3663
'0:1:8.2,1.3035
'0:1:8.4,1.3580
'0:1:8.6,1.3708
'0:1:8.8,1.4001
'0:1:9.0,1.4228
'0:1:9.2,1.4332
'0:1:9.4,1.4457
'0:1:9.6,1.3926
'0:1:9.8,1.3722
'0:1:10.0,1.3783
'0:1:10.2,1.4608
'0:1:10.4,1.4536
'0:1:10.6,1.4690
'0:1:10.8,1.4451
'0:1:11.0,1.4249
'0:1:11.2,1.4435
'0:1:11.4,1.4644
'0:1:11.6,1.4794
'0:1:11.8,1.4775
'0:1:12.0,1.4844
'0:1:12.2,1.5042
'0:1:12.4,1.5135
'0:1:12.6,1.5280
'0:1:12.8,1.5344
'0:1:13.0,1.5381
'0:1:13.2,1.5394
'0:1:13.4,1.5416
'0:1:13.6,1.5443
'0:1:13.8,1.5475
'0:1:14.0,1.5495
'0:1:14.2,1.5533
'0:1:14.4,1.5541
'0:1:14.6,1.5510
'0:1:14.8,1.5528
'0:1:15.0,1.5554
'0:1:15.2,1.5643
'0:1:15.4,1.5756
'0:1:15.6,1.5834
'0:1:15.8,1.5899
'0:1:16.0,1.5947
'0:1:16.2,1.5995
'0:1:16.4,1.5996
'0:1:16.6,1.5996
'0:1:16.8,1.6012
'0:1:17.0,1.6037
'0:1:17.2,1.6086
'0:1:17.4,1.6165
'0:1:17.6,1.6272
'0:1:17.8,1.6425
'0:1:18.0,1.6523
'0:1:18.2,1.6646
'0:1:18.4,1.6798
'0:1:18.6,1.6882
'0:1:18.8,1.6917
'0:1:19.0,1.6950
'0:1:19.2,1.6995
'0:1:19.4,1.6971
'0:1:19.6,1.7112
'0:1:19.8,1.7408
'0:1:20.0,1.7312
'0:1:20.2,1.7574
'0:1:20.4,1.7941
'0:1:20.6,1.8344
'0:1:20.8,1.8648
'0:1:21.0,1.8889
'0:1:21.2,1.9082
'0:1:21.4,1.9276
'0:1:21.6,1.9449
'0:1:21.8,1.9551
'0:1:22.0,1.9644
'0:1:22.2,1.9709
'0:1:22.4,1.9726
'0:1:22.6,1.9687
'0:1:22.8,1.9628
'0:1:23.0,1.9508
'0:1:23.2,1.9321
'0:1:23.4,1.9175
'0:1:23.6,1.9045
'0:1:23.8,1.8917
'0:1:24.0,1.8802
'0:1:24.2,1.8708
'0:1:24.4,1.8642
'0:1:24.6,1.8600
'0:1:24.8,1.8543
'0:1:25.0,1.8492
'0:1:25.2,1.8453
'0:1:25.4,1.8426
'0:1:25.6,1.8418
'0:1:25.8,1.8414
'0:1:26.0,1.8395
'0:1:26.2,1.8371
'0:1:26.4,1.8332
'0:1:26.6,1.8304
'0:1:26.8,1.8276
'0:1:27.0,1.8234
'0:1:27.2,1.8188
'0:1:27.4,1.8138
'0:1:27.6,1.8090
'0:1:27.8,1.8050
'0:1:28.0,1.8027
'0:1:28.2,1.8025
'0:1:28.4,1.8040
'0:1:28.6,1.8058
'0:1:28.8,1.8078
'0:1:29.0,1.8106
'0:1:29.2,1.8132
'0:1:29.4,1.8159
'0:1:29.6,1.8172
'0:1:29.8,1.8168
'0:1:30.0,1.8150
'0:1:30.2,1.8131
'0:1:30.4,1.8102
'0:1:30.6,1.8056
'0:1:30.8,1.8018
'0:1:31.0,1.7981
'0:1:31.2,1.7948
'0:1:31.4,1.7913
'0:1:31.6,1.7872
'0:1:31.8,1.7829
'0:1:32.0,1.7797
'0:1:32.2,1.7756
'0:1:32.4,1.7713
'0:1:32.6,1.7691
'0:1:32.8,1.7671
'0:1:33.0,1.7661
'0:1:33.2,1.7655
'0:1:33.4,1.7638
'0:1:33.6,1.7611
'0:1:33.8,1.7581
'0:1:34.0,1.7552
'0:1:34.2,1.7515
'0:1:34.4,1.7485
'0:1:34.6,1.7461
'0:1:34.8,1.7425
'0:1:35.0,1.7390
'0:1:35.2,1.7368
'0:1:35.4,1.7357
'0:1:35.6,1.7333
'0:1:35.8,1.7302
'0:1:36.0,1.7271
'0:1:36.2,1.7240
'0:1:36.4,1.7202
'0:1:36.6,1.7169
'0:1:36.8,1.7140
'0:1:37.0,1.7118
'0:1:37.2,1.7095
'0:1:37.4,1.7076
'0:1:37.6,1.7025
'0:1:37.8,1.7014
'0:1:38.0,1.6993
'0:1:38.2,1.6967
'0:1:38.4,1.6942
'0:1:38.6,1.6927
'0:1:38.8,1.6899
'0:1:39.0,1.6871
'0:1:39.2,1.6845
'0:1:39.4,1.6817
'0:1:39.6,1.6793
'0:1:39.8,1.6764
'0:1:40.0,1.6728
'0:1:40.2,1.6691
'0:1:40.4,1.6670
'0:1:40.6,1.6628
'0:1:40.8,1.6595
'0:1:41.0,1.6565
'0:1:41.2,1.6538
'0:1:41.4,1.6505
'0:1:41.6,1.6475
'0:1:41.8,1.6446
'0:1:42.0,1.6415
'0:1:42.2,1.6383
'0:1:42.4,1.6354
'0:1:42.6,1.6328
'0:1:42.8,1.6307
'0:1:43.0,1.6281
'0:1:43.2,1.6250
'0:1:43.4,1.6225
'0:1:43.6,1.6195
'0:1:43.8,1.6169
'0:1:44.0,1.6159
'0:1:44.2,1.6129
'0:1:44.4,1.6117
'0:1:44.6,1.6103
'0:1:44.8,1.6082
'0:1:45.0,1.6067
'0:1:45.2,1.6053
