Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,0.5707
'0:0:0.2,0.5707
'0:0:0.4,0.5707
'0:0:0.6,0.5697
'0:0:0.8,0.5678
'0:0:1.0,0.5645
'0:0:1.2,0.5627
'0:0:1.4,0.5593
'0:0:1.6,0.5571
'0:0:1.8,0.5568
'0:0:2.0,0.5571
'0:0:2.2,0.5579
'0:0:2.4,0.5580
'0:0:2.6,0.5578
'0:0:2.8,0.5580
'0:0:3.0,0.5580
'0:0:3.2,0.5581
'0:0:3.4,0.5577
'0:0:3.6,0.5577
'0:0:3.8,0.5577
'0:0:4.0,0.5575
'0:0:4.2,0.5572
'0:0:4.4,0.5571
'0:0:4.6,0.5569
'0:0:4.8,0.5583
'0:0:5.0,0.5578
'0:0:5.2,0.5580
'0:0:5.4,0.5580
'0:0:5.6,0.5575
'0:0:5.8,0.5571
'0:0:6.0,0.5566
'0:0:6.2,0.5563
'0:0:6.4,0.5560
'0:0:6.6,0.5559
'0:0:6.8,0.5553
'0:0:7.0,0.5555
'0:0:7.2,0.5550
'0:0:7.4,0.5545
'0:0:7.6,0.5532
'0:0:7.8,0.5516
'0:0:8.0,0.5508
'0:0:8.2,0.5511
'0:0:8.4,0.5522
'0:0:8.6,0.5524
'0:0:8.8,0.5525
'0:0:9.0,0.5520
'0:0:9.2,0.5517
'0:0:9.4,0.5515
'0:0:9.6,0.5512
'0:0:9.8,0.5507
'0:0:10.0,0.5502
'0:0:10.2,0.5499
'0:0:10.4,0.5496
'0:0:10.6,0.5491
'0:0:10.8,0.5486
'0:0:11.0,0.5483
'0:0:11.2,0.5480
'0:0:11.4,0.5476
'0:0:11.6,0.5472
'0:0:11.8,0.5469
'0:0:12.0,0.5469
'0:0:12.2,0.5465
'0:0:12.4,0.5462
'0:0:12.6,0.5460
'0:0:12.8,0.5456
'0:0:13.0,0.5453
'0:0:13.2,0.5453
'0:0:13.4,0.5452
'0:0:13.6,0.5451
'0:0:13.8,0.5451
'0:0:14.0,0.5446
'0:0:14.2,0.5440
'0:0:14.4,0.5435
'0:0:14.6,0.5433
'0:0:14.8,0.5431
'0:0:15.0,0.5426
'0:0:15.2,0.5402
'0:0:15.4,0.5395
'0:0:15.6,0.5387
'0:0:15.8,0.5376
'0:0:16.0,0.5373
'0:0:16.2,0.5369
'0:0:16.4,0.5368
'0:0:16.6,0.5365
'0:0:16.8,0.5364
'0:0:17.0,0.5362
'0:0:17.2,0.5361
'0:0:17.4,0.5361
'0:0:17.6,0.5361
'0:0:17.8,0.5376
'0:0:18.0,0.5387
'0:0:18.2,0.5387
'0:0:18.4,0.5386
'0:0:18.6,0.5381
'0:0:18.8,0.5378
'0:0:19.0,0.5377
'0:0:19.2,0.5371
'0:0:19.4,0.5367
'0:0:19.6,0.5366
'0:0:19.8,0.5363
'0:0:20.0,0.5359
'0:0:20.2,0.5352
'0:0:20.4,0.5346
'0:0:20.6,0.5342
'0:0:20.8,0.5344
'0:0:21.0,0.5343
'0:0:21.2,0.5341
'0:0:21.4,0.5339
'0:0:21.6,0.5335
'0:0:21.8,0.5330
'0:0:22.0,0.5326
'0:0:22.2,0.5323
'0:0:22.4,0.5321
'0:0:22.6,0.5319
'0:0:22.8,0.5316
'0:0:23.0,0.5316
'0:0:23.2,0.5312
'0:0:23.4,0.5307
'0:0:23.6,0.5304
'0:0:23.8,0.5299
'0:0:24.0,0.5293
'0:0:24.2,0.5289
'0:0:24.4,0.5285
'0:0:24.6,0.5282
'0:0:24.8,0.5281
'0:0:25.0,0.5279
'0:0:25.2,0.5278
'0:0:25.4,0.5276
'0:0:25.6,0.5274
'0:0:25.8,0.5272
'0:0:26.0,0.5268
'0:0:26.2,0.5266
'0:0:26.4,0.5265
'0:0:26.6,0.5263
'0:0:26.8,0.5259
'0:0:27.0,0.5253
'0:0:27.2,0.5242
'0:0:27.4,0.5230
'0:0:27.6,0.5228
'0:0:27.8,0.5223
'0:0:28.0,0.5216
'0:0:28.2,0.5214
'0:0:28.4,0.5214
'0:0:28.6,0.5224
'0:0:28.8,0.5234
'0:0:29.0,0.5233
'0:0:29.2,0.5231
'0:0:29.4,0.5227
'0:0:29.6,0.5227
'0:0:29.8,0.5225
'0:0:30.0,0.5223
'0:0:30.2,0.5221
'0:0:30.4,0.5219
'0:0:30.6,0.5218
'0:0:30.8,0.5219
'0:0:31.0,0.5220
'0:0:31.2,0.5223
'0:0:31.4,0.5226
'0:0:31.6,0.5225
'0:0:31.8,0.5223
'0:0:32.0,0.5224
'0:0:32.2,0.5223
'0:0:32.4,0.5223
'0:0:32.6,0.5223
'0:0:32.8,0.5226
'0:0:33.0,0.5226
'0:0:33.2,0.5223
'0:0:33.4,0.5220
'0:0:33.6,0.5210
'0:0:33.8,0.5201
'0:0:34.0,0.5201
'0:0:34.2,0.5204
'0:0:34.4,0.5204
'0:0:34.6,0.5203
'0:0:34.8,0.5203
'0:0:35.0,0.5203
'0:0:35.2,0.5203
'0:0:35.4,0.5200
'0:0:35.6,0.5196
'0:0:35.8,0.5197
'0:0:36.0,0.5197
'0:0:36.2,0.5196
'0:0:36.4,0.5197
'0:0:36.6,0.5198
'0:0:36.8,0.5198
'0:0:37.0,0.5197
'0:0:37.2,0.5192
'0:0:37.4,0.5189
'0:0:37.6,0.5188
'0:0:37.8,0.5182
'0:0:38.0,0.5169
'0:0:38.2,0.5171
'0:0:38.4,0.5164
'0:0:38.6,0.5157
'0:0:38.8,0.5148
'0:0:39.0,0.5145
'0:0:39.2,0.5144
'0:0:39.4,0.5143
'0:0:39.6,0.5141
'0:0:39.8,0.5142
'0:0:40.0,0.5143
'0:0:40.2,0.5149
'0:0:40.4,0.5149
'0:0:40.6,0.5151
'0:0:40.8,0.5142
'0:0:41.0,0.5143
'0:0:41.2,0.5146
'0:0:41.4,0.5146
'0:0:41.6,0.5153
'0:0:41.8,0.5154
'0:0:42.0,0.5160
'0:0:42.2,0.5167
'0:0:42.4,0.5166
'0:0:42.6,0.5162
'0:0:42.8,0.5160
'0:0:43.0,0.5160
'0:0:43.2,0.5164
'0:0:43.4,0.5164
'0:0:43.6,0.5171
'0:0:43.8,0.5169
'0:0:44.0,0.5169
'0:0:44.2,0.5166
'0:0:44.4,0.5164
'0:0:44.6,0.5163
'0:0:44.8,0.5160
'0:0:45.0,0.5155
'0:0:45.2,0.5166
'0:0:45.4,0.5162
'0:0:45.6,0.5160
'0:0:45.8,0.5157
'0:0:46.0,0.5156
'0:0:46.2,0.5155
'0:0:46.4,0.5154
'0:0:46.6,0.5153
'0:0:46.8,0.5153
'0:0:47.0,0.5153
'0:0:47.2,0.5153
'0:0:47.4,0.5151
'0:0:47.6,0.5151
'0:0:47.8,0.5149
'0:0:48.0,0.5148
'0:0:48.2,0.5146
'0:0:48.4,0.5146
'0:0:48.6,0.5145
'0:0:48.8,0.5143
'0:0:49.0,0.5142
'0:0:49.2,0.5141
'0:0:49.4,0.5141
'0:0:49.6,0.5140
'0:0:49.8,0.5140
'0:0:50.0,0.5138
'0:0:50.2,0.5137
'0:0:50.4,0.5136
'0:0:50.6,0.5135
'0:0:50.8,0.5133
'0:0:51.0,0.5132
'0:0:51.2,0.5131
'0:0:51.4,0.5133
'0:0:51.6,0.5132
'0:0:51.8,0.5130
'0:0:52.0,0.5127
'0:0:52.2,0.5130
'0:0:52.4,0.5127
'0:0:52.6,0.5125
'0:0:52.8,0.5123
'0:0:53.0,0.5121
'0:0:53.2,0.5118
'0:0:53.4,0.5116
'0:0:53.6,0.5115
'0:0:53.8,0.5115
'0:0:54.0,0.5115
'0:0:54.2,0.5114
'0:0:54.4,0.5113
'0:0:54.6,0.5110
'0:0:54.8,0.5110
'0:0:55.0,0.5112
'0:0:55.2,0.5109
'0:0:55.4,0.5109
'0:0:55.6,0.5106
'0:0:55.8,0.5106
'0:0:56.0,0.5105
'0:0:56.2,0.5106
'0:0:56.4,0.5106
'0:0:56.6,0.5109
'0:0:56.8,0.5110
'0:0:57.0,0.5114
'0:0:57.2,0.5118
'0:0:57.4,0.5119
'0:0:57.6,0.5119
'0:0:57.8,0.5118
'0:0:58.0,0.5117
'0:0:58.2,0.5116
'0:0:58.4,0.5115
'0:0:58.6,0.5115
'0:0:58.8,0.5114
'0:0:59.0,0.5112
'0:0:59.2,0.5112
'0:0:59.4,0.5110
'0:0:59.6,0.5109
'0:0:59.8,0.5111
'0:1:0.0,0.5112
'0:1:0.2,0.5110
'0:1:0.4,0.5109
'0:1:0.6,0.5108
'0:1:0.8,0.5108
'0:1:1.0,0.5106
'0:1:1.2,0.5106
'0:1:1.4,0.5104
'0:1:1.6,0.5104
'0:1:1.8,0.5103
'0:1:2.0,0.5101
'0:1:2.2,0.5102
'0:1:2.4,0.5103
'0:1:2.6,0.5102
'0:1:2.8,0.5099
'0:1:3.0,0.5098
'0:1:3.2,0.5095
'0:1:3.4,0.5093
'0:1:3.6,0.5090
'0:1:3.8,0.5088
'0:1:4.0,0.5090
'0:1:4.2,0.5088
'0:1:4.4,0.5087
'0:1:4.6,0.5088
'0:1:4.8,0.5087
'0:1:5.0,0.5097
'0:1:5.2,0.5112
'0:1:5.4,0.5117
'0:1:5.6,0.5115
'0:1:5.8,0.5107
'0:1:6.0,0.5103
'0:1:6.2,0.5101
'0:1:6.4,0.5097
'0:1:6.6,0.5082
'0:1:6.8,0.5078
'0:1:7.0,0.5074
'0:1:7.2,0.5072
'0:1:7.4,0.5072
'0:1:7.6,0.5067
'0:1:7.8,0.5072
'0:1:8.0,0.5067
'0:1:8.2,0.5068
'0:1:8.4,0.5070
'0:1:8.6,0.5069
'0:1:8.8,0.5068
'0:1:9.0,0.5066
'0:1:9.2,0.5062
'0:1:9.4,0.5059
'0:1:9.6,0.5062
'0:1:9.8,0.5061
'0:1:10.0,0.5057
'0:1:10.2,0.5037
'0:1:10.4,0.5023
'0:1:10.6,0.5042
'0:1:10.8,0.5041
'0:1:11.0,0.5042
'0:1:11.2,0.5047
'0:1:11.4,0.5050
'0:1:11.6,0.5052
'0:1:11.8,0.5052
'0:1:12.0,0.5050
'0:1:12.2,0.5049
'0:1:12.4,0.5048
'0:1:12.6,0.5064
'0:1:12.8,0.5046
'0:1:13.0,0.5043
'0:1:13.2,0.5041
'0:1:13.4,0.5039
'0:1:13.6,0.5037
'0:1:13.8,0.5036
'0:1:14.0,0.5032
'0:1:14.2,0.5031
'0:1:14.4,0.5030
'0:1:14.6,0.5039
'0:1:14.8,0.5037
'0:1:15.0,0.5031
'0:1:15.2,0.5028
'0:1:15.4,0.5029
'0:1:15.6,0.5026
'0:1:15.8,0.5026
'0:1:16.0,0.5025
'0:1:16.2,0.5025
'0:1:16.4,0.5024
'0:1:16.6,0.5024
'0:1:16.8,0.5023
'0:1:17.0,0.5022
'0:1:17.2,0.5021
'0:1:17.4,0.5020
'0:1:17.6,0.5017
'0:1:17.8,0.5016
'0:1:18.0,0.5020
'0:1:18.2,0.5019
'0:1:18.4,0.5019
'0:1:18.6,0.5017
'0:1:18.8,0.5020
'0:1:19.0,0.5023
'0:1:19.2,0.5021
'0:1:19.4,0.5021
'0:1:19.6,0.5021
'0:1:19.8,0.5020
'0:1:20.0,0.5019
'0:1:20.2,0.5020
'0:1:20.4,0.5021
'0:1:20.6,0.5021
'0:1:20.8,0.5020
'0:1:21.0,0.5028
'0:1:21.2,0.5025
'0:1:21.4,0.5023
'0:1:21.6,0.5023
'0:1:21.8,0.5026
'0:1:22.0,0.5023
'0:1:22.2,0.5020
'0:1:22.4,0.5024
'0:1:22.6,0.5021
'0:1:22.8,0.5018
'0:1:23.0,0.5015
'0:1:23.2,0.5014
'0:1:23.4,0.5009
'0:1:23.6,0.5006
'0:1:23.8,0.5004
'0:1:24.0,0.5001
'0:1:24.2,0.5000
'0:1:24.4,0.4989
'0:1:24.6,0.4990
'0:1:24.8,0.5007
'0:1:25.0,0.5003
'0:1:25.2,0.4997
'0:1:25.4,0.4997
'0:1:25.6,0.4997
'0:1:25.8,0.4995
'0:1:26.0,0.4995
'0:1:26.2,0.4995
'0:1:26.4,0.4996
'0:1:26.6,0.4996
'0:1:26.8,0.4993
'0:1:27.0,0.4995
'0:1:27.2,0.4993
'0:1:27.4,0.4991
'0:1:27.6,0.4990
'0:1:27.8,0.4988
'0:1:28.0,0.4988
'0:1:28.2,0.4986
'0:1:28.4,0.4986
'0:1:28.6,0.4985
'0:1:28.8,0.4983
'0:1:29.0,0.4980
'0:1:29.2,0.4980
'0:1:29.4,0.4980
'0:1:29.6,0.4977
'0:1:29.8,0.4973
'0:1:30.0,0.4972
'0:1:30.2,0.4971
'0:1:30.4,0.4974
'0:1:30.6,0.4969
'0:1:30.8,0.4967
'0:1:31.0,0.4967
'0:1:31.2,0.4967
'0:1:31.4,0.4965
'0:1:31.6,0.4960
'0:1:31.8,0.4960
'0:1:32.0,0.4960
'0:1:32.2,0.4960
'0:1:32.4,0.4958
'0:1:32.6,0.4958
'0:1:32.8,0.4956
'0:1:33.0,0.4954
'0:1:33.2,0.4956
'0:1:33.4,0.4954
'0:1:33.6,0.4953
'0:1:33.8,0.4952
'0:1:34.0,0.4950
'0:1:34.2,0.4953
'0:1:34.4,0.4950
'0:1:34.6,0.4952
'0:1:34.8,0.4951
'0:1:35.0,0.4950
'0:1:35.2,0.4947
'0:1:35.4,0.4946
'0:1:35.6,0.4943
'0:1:35.8,0.4940
'0:1:36.0,0.4939
'0:1:36.2,0.4939
'0:1:36.4,0.4937
'0:1:36.6,0.4937
'0:1:36.8,0.4937
'0:1:37.0,0.4935
'0:1:37.2,0.4935
'0:1:37.4,0.4932
'0:1:37.6,0.4932
'0:1:37.8,0.4932
'0:1:38.0,0.4932
'0:1:38.2,0.4931
'0:1:38.4,0.4929
'0:1:38.6,0.4928
'0:1:38.8,0.4928
'0:1:39.0,0.4924
'0:1:39.2,0.4927
'0:1:39.4,0.4929
'0:1:39.6,0.4928
'0:1:39.8,0.4928
'0:1:40.0,0.4928
'0:1:40.2,0.4927
'0:1:40.4,0.4928
'0:1:40.6,0.4929
'0:1:40.8,0.4926
'0:1:41.0,0.4925
'0:1:41.2,0.4925
'0:1:41.4,0.4923
'0:1:41.6,0.4922
'0:1:41.8,0.4919
'0:1:42.0,0.4918
'0:1:42.2,0.4916
'0:1:42.4,0.4914
'0:1:42.6,0.4914
'0:1:42.8,0.4913
'0:1:43.0,0.4914
'0:1:43.2,0.4913
'0:1:43.4,0.4911
'0:1:43.6,0.4911
'0:1:43.8,0.4911
'0:1:44.0,0.4909
'0:1:44.2,0.4907
'0:1:44.4,0.4907
'0:1:44.6,0.4908
'0:1:44.8,0.4909
'0:1:45.0,0.4907
'0:1:45.2,0.4905
