TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
49:22.9,1.026849856,0.183176001,0.015050293,0.309578597,0.549453534,-0.022197885,-0.139130974,0.208384813,0.96173885,0.010792588,0.243651939,0.528165364,0.54056437,0.412591673,0.460270545,0.343001381,0.076313098,0.532750309,-0.014715519,0.250973193,824.7985348,811.0989011,799.4139194,811.0989011,642.6739927,-0.380127,0.12146,0.926392,3.850555,-6.721649,-1.839294,1,1,1,1,1,75,
49:23.9,0.8068421,-0.296753176,0.09621589,0.428973073,0.478068248,-0.292687001,-0.13419832,0.440066963,1.349187725,0.723544552,0.266525092,0.61190122,0.757008621,0.380017776,0.557354468,0.648133929,0.198828218,0.580450898,0.11291516,0.272419127,826.007326,811.0989011,796.1904762,800.2197802,735.3479853,-0.37793,0.12677,0.928467,4.344025,-6.938477,-1.323395,1,1,1,1,1,75,
49:24.9,0.614814419,-0.061899534,0.080080671,0.638446795,0.655614465,-0.080493206,-0.301194538,0.47564472,1.332596208,0.737661987,-0.010626404,0.981122999,0.763399878,0.284664658,0.535488088,0.914387373,0.244237884,0.575066761,0.385851618,0.504252147,811.0989011,790.952381,801.4285714,816.7399267,915.0549451,-0.380676,0.122314,0.923828,3.386993,-7.110443,-2.220612,1,1,1,1,1,75,
49:25.9,0.419293581,-0.190480056,-0.246956769,0.579925445,0.573353445,-0.089933031,-0.410205518,0.294800888,0.907200451,0.074485865,-0.036811247,0.959393599,0.557023372,0.36585478,0.568227413,0.621282362,0.21221483,0.67358219,0.544239396,0.462279553,807.0695971,815.1282051,788.1318681,810.6959707,828.4249084,-0.384644,0.12439,0.927124,3.895416,-7.775879,-1.143951,1,1,1,1,1,75,
49:26.9,0.260664641,-0.212659478,-0.412307866,0.413173662,0.255250211,-0.401347137,-0.609796337,0.143886767,0.92612766,0.05378353,-0.042736497,0.64309859,0.603537324,0.415890308,0.583017224,0.451766973,0.283353506,0.692311023,0.564772728,0.24868012,793.7728938,813.9194139,783.6996337,800.6227106,765.970696,-0.380066,0.117981,0.927612,3.887939,-7.050629,-1.121521,1,1,1,1,1,75,
49:27.9,0.359169178,-0.190537578,-0.009003652,0.33277776,0.580489548,-0.280370907,-0.568463571,0.333123356,0.997418799,0.153006547,-0.078358474,0.7872605,0.532434175,0.317727819,0.557203711,0.397161057,0.137846151,0.632130903,0.354033871,0.37620638,788.9377289,801.8315018,801.4285714,805.4578755,748.6446886,-0.377502,0.1203,0.925537,3.962708,-7.529144,-1.921539,1,1,1,1,1,75,
49:28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
49:28.9,0.720721471,0.317054568,0.469749731,0.713828465,0.696141627,0.035283804,0.037246828,0.169972268,0.75339753,0.31939895,0.362866505,0.716016631,0.403703777,0.491259357,0.516223087,0.468037053,0.306569054,0.568096515,0.312347372,0.481727336,839.3040293,818.3516484,795.7875458,827.2161172,705.1282051,-0.379089,0.122253,0.930054,4.530945,-5.458069,-0.807495,1,1,1,1,1,75,
49:29.9,1.467466527,1.069943643,1.2794448,1.032522977,1.189252321,0.406934379,0.699483147,1.169748446,1.091370859,0.472334418,0.582485887,0.866967125,0.730784315,0.574983192,0.613253068,0.629918861,0.458308696,0.626741295,0.29730806,0.475947753,800.6227106,808.2783883,800.2197802,824.7985348,1048.827839,-0.381836,0.117065,0.928345,4.523468,-6.983337,-1.271057,1,1,1,1,1,75,
49:30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
