Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,2.3207
'0:0:0.2,2.3166
'0:0:0.4,2.3122
'0:0:0.6,2.3080
'0:0:0.8,2.3039
'0:0:1.0,2.3011
'0:0:1.2,2.2962
'0:0:1.4,2.2896
'0:0:1.6,2.2923
'0:0:1.8,2.2876
'0:0:2.0,2.2819
'0:0:2.2,2.2792
'0:0:2.4,2.2797
'0:0:2.6,2.2750
'0:0:2.8,2.2743
'0:0:3.0,2.2777
'0:0:3.2,2.2788
'0:0:3.4,2.2814
'0:0:3.6,2.2797
'0:0:3.8,2.2772
'0:0:4.0,2.2754
'0:0:4.2,2.2734
'0:0:4.4,2.2710
'0:0:4.6,2.2659
'0:0:4.8,2.2618
'0:0:5.0,2.2569
'0:0:5.2,2.2560
'0:0:5.4,2.2491
'0:0:5.6,2.2446
'0:0:5.8,2.2389
'0:0:6.0,2.2352
'0:0:6.2,2.2318
'0:0:6.4,2.2284
'0:0:6.6,2.2248
'0:0:6.8,2.2202
'0:0:7.0,2.2168
'0:0:7.2,2.2138
'0:0:7.4,2.2113
'0:0:7.6,2.2089
'0:0:7.8,2.2082
'0:0:8.0,2.2067
'0:0:8.2,2.2059
'0:0:8.4,2.2048
'0:0:8.6,2.2032
'0:0:8.8,2.2008
'0:0:9.0,2.1979
'0:0:9.2,2.1951
'0:0:9.4,2.1934
'0:0:9.6,2.1914
'0:0:9.8,2.1881
'0:0:10.0,2.1853
'0:0:10.2,2.1817
'0:0:10.4,2.1797
'0:0:10.6,2.1773
'0:0:10.8,2.1745
'0:0:11.0,2.1709
'0:0:11.2,2.1679
'0:0:11.4,2.1653
'0:0:11.6,2.1625
'0:0:11.8,2.1625
'0:0:12.0,2.1594
'0:0:12.2,2.1560
'0:0:12.4,2.1530
'0:0:12.6,2.1506
'0:0:12.8,2.1489
'0:0:13.0,2.1448
'0:0:13.2,2.1432
'0:0:13.4,2.1414
'0:0:13.6,2.1388
'0:0:13.8,2.1357
'0:0:14.0,2.1335
'0:0:14.2,2.1301
'0:0:14.4,2.1279
'0:0:14.6,2.1251
'0:0:14.8,2.1205
'0:0:15.0,2.1180
'0:0:15.2,2.1155
'0:0:15.4,2.1129
'0:0:15.6,2.1112
'0:0:15.8,2.1073
'0:0:16.0,2.1043
'0:0:16.2,2.1014
'0:0:16.4,2.0992
'0:0:16.6,2.0967
'0:0:16.8,2.0950
'0:0:17.0,2.0924
'0:0:17.2,2.0902
'0:0:17.4,2.0883
'0:0:17.6,2.0872
'0:0:17.8,2.0862
'0:0:18.0,2.0845
'0:0:18.2,2.0820
'0:0:18.4,2.0800
'0:0:18.6,2.0787
'0:0:18.8,2.0770
'0:0:19.0,2.0748
'0:0:19.2,2.0727
'0:0:19.4,2.0707
'0:0:19.6,2.0682
'0:0:19.8,2.0664
'0:0:20.0,2.0644
'0:0:20.2,2.0619
'0:0:20.4,2.0588
'0:0:20.6,2.0563
'0:0:20.8,2.0536
'0:0:21.0,2.0518
'0:0:21.2,2.0505
'0:0:21.4,2.0480
'0:0:21.6,2.0451
'0:0:21.8,2.0433
'0:0:22.0,2.0408
'0:0:22.2,2.0384
'0:0:22.4,2.0359
'0:0:22.6,2.0328
'0:0:22.8,2.0300
'0:0:23.0,2.0286
'0:0:23.2,2.0243
'0:0:23.4,2.0232
'0:0:23.6,2.0203
'0:0:23.8,2.0182
'0:0:24.0,2.0151
'0:0:24.2,2.0136
'0:0:24.4,2.0114
'0:0:24.6,2.0094
'0:0:24.8,2.0062
'0:0:25.0,2.0049
'0:0:25.2,2.0028
'0:0:25.4,2.0020
'0:0:25.6,2.0004
'0:0:25.8,1.9990
'0:0:26.0,1.9962
'0:0:26.2,1.9951
'0:0:26.4,1.9932
'0:0:26.6,1.9894
'0:0:26.8,1.9887
'0:0:27.0,1.9862
'0:0:27.2,1.9833
'0:0:27.4,1.9803
'0:0:27.6,1.9779
'0:0:27.8,1.9755
'0:0:28.0,1.9728
'0:0:28.2,1.9715
'0:0:28.4,1.9695
'0:0:28.6,1.9685
'0:0:28.8,1.9661
'0:0:29.0,1.9646
'0:0:29.2,1.9623
'0:0:29.4,1.9584
'0:0:29.6,1.9571
'0:0:29.8,1.9552
'0:0:30.0,1.9545
'0:0:30.2,1.9523
'0:0:30.4,1.9486
'0:0:30.6,1.9480
'0:0:30.8,1.9461
'0:0:31.0,1.9453
'0:0:31.2,1.9411
'0:0:31.4,1.9410
'0:0:31.6,1.9391
'0:0:31.8,1.9383
'0:0:32.0,1.9346
'0:0:32.2,1.9328
'0:0:32.4,1.9311
'0:0:32.6,1.9302
'0:0:32.8,1.9280
'0:0:33.0,1.9251
'0:0:33.2,1.9231
'0:0:33.4,1.9215
'0:0:33.6,1.9198
'0:0:33.8,1.9166
'0:0:34.0,1.9128
'0:0:34.2,1.9107
'0:0:34.4,1.9084
'0:0:34.6,1.9059
'0:0:34.8,1.9039
'0:0:35.0,1.9004
'0:0:35.2,1.8982
'0:0:35.4,1.8964
'0:0:35.6,1.8946
'0:0:35.8,1.8929
'0:0:36.0,1.8892
'0:0:36.2,1.8878
'0:0:36.4,1.8860
'0:0:36.6,1.8853
'0:0:36.8,1.8839
'0:0:37.0,1.8816
'0:0:37.2,1.8799
'0:0:37.4,1.8789
'0:0:37.6,1.8775
'0:0:37.8,1.8739
'0:0:38.0,1.8723
'0:0:38.2,1.8698
'0:0:38.4,1.8686
'0:0:38.6,1.8657
'0:0:38.8,1.8631
'0:0:39.0,1.8604
'0:0:39.2,1.8591
'0:0:39.4,1.8594
'0:0:39.6,1.8561
'0:0:39.8,1.8547
'0:0:40.0,1.8522
'0:0:40.2,1.8507
'0:0:40.4,1.8489
'0:0:40.6,1.8459
'0:0:40.8,1.8445
'0:0:41.0,1.8426
'0:0:41.2,1.8409
'0:0:41.4,1.8393
'0:0:41.6,1.8371
'0:0:41.8,1.8354
'0:0:42.0,1.8336
'0:0:42.2,1.8313
'0:0:42.4,1.8311
'0:0:42.6,1.8293
'0:0:42.8,1.8276
'0:0:43.0,1.8261
'0:0:43.2,1.8228
'0:0:43.4,1.8212
'0:0:43.6,1.8196
'0:0:43.8,1.8180
'0:0:44.0,1.8155
'0:0:44.2,1.8127
'0:0:44.4,1.8107
'0:0:44.6,1.8088
'0:0:44.8,1.8069
'0:0:45.0,1.8034
'0:0:45.2,1.8018
'0:0:45.4,1.8009
'0:0:45.6,1.7989
'0:0:45.8,1.7971
'0:0:46.0,1.7941
'0:0:46.2,1.7925
'0:0:46.4,1.7906
'0:0:46.6,1.7894
'0:0:46.8,1.7862
'0:0:47.0,1.7842
'0:0:47.2,1.7818
'0:0:47.4,1.7803
'0:0:47.6,1.7789
'0:0:47.8,1.7772
'0:0:48.0,1.7753
'0:0:48.2,1.7720
'0:0:48.4,1.7703
'0:0:48.6,1.7691
'0:0:48.8,1.7665
'0:0:49.0,1.7647
'0:0:49.2,1.7624
'0:0:49.4,1.7609
'0:0:49.6,1.7596
'0:0:49.8,1.7595
'0:0:50.0,1.7588
'0:0:50.2,1.7566
'0:0:50.4,1.7551
'0:0:50.6,1.7512
'0:0:50.8,1.7496
'0:0:51.0,1.7476
'0:0:51.2,1.7456
'0:0:51.4,1.7449
'0:0:51.6,1.7428
'0:0:51.8,1.7407
'0:0:52.0,1.7378
'0:0:52.2,1.7366
'0:0:52.4,1.7350
'0:0:52.6,1.7323
'0:0:52.8,1.7306
'0:0:53.0,1.7288
'0:0:53.2,1.7272
'0:0:53.4,1.7255
'0:0:53.6,1.7238
'0:0:53.8,1.7224
'0:0:54.0,1.7210
'0:0:54.2,1.7188
'0:0:54.4,1.7168
'0:0:54.6,1.7155
'0:0:54.8,1.7134
'0:0:55.0,1.7125
'0:0:55.2,1.7111
'0:0:55.4,1.7088
'0:0:55.6,1.7070
'0:0:55.8,1.7060
'0:0:56.0,1.7052
'0:0:56.2,1.7025
'0:0:56.4,1.7007
'0:0:56.6,1.6988
'0:0:56.8,1.6975
'0:0:57.0,1.6960
'0:0:57.2,1.6943
'0:0:57.4,1.6929
'0:0:57.6,1.6914
'0:0:57.8,1.6920
'0:0:58.0,1.6907
'0:0:58.2,1.6898
'0:0:58.4,1.6895
'0:0:58.6,1.6921
'0:0:58.8,1.6907
'0:0:59.0,1.6903
'0:0:59.2,1.6889
'0:0:59.4,1.6881
'0:0:59.6,1.6860
'0:0:59.8,1.6846
'0:1:0.0,1.6828
'0:1:0.2,1.6813
'0:1:0.4,1.6799
'0:1:0.6,1.6787
'0:1:0.8,1.6769
'0:1:1.0,1.6771
'0:1:1.2,1.6758
'0:1:1.4,1.6746
'0:1:1.6,1.6736
'0:1:1.8,1.6717
'0:1:2.0,1.6696
'0:1:2.2,1.6679
'0:1:2.4,1.6672
'0:1:2.6,1.6676
'0:1:2.8,1.6676
'0:1:3.0,1.6657
'0:1:3.2,1.6648
'0:1:3.4,1.6637
'0:1:3.6,1.6625
'0:1:3.8,1.6597
'0:1:4.0,1.6583
'0:1:4.2,1.6569
'0:1:4.4,1.6553
'0:1:4.6,1.6547
'0:1:4.8,1.6545
'0:1:5.0,1.6535
'0:1:5.2,1.6524
'0:1:5.4,1.6515
'0:1:5.6,1.6503
'0:1:5.8,1.6493
'0:1:6.0,1.6477
'0:1:6.2,1.6459
'0:1:6.4,1.6444
'0:1:6.6,1.6431
'0:1:6.8,1.6419
'0:1:7.0,1.6408
'0:1:7.2,1.6392
'0:1:7.4,1.6382
'0:1:7.6,1.6369
'0:1:7.8,1.6351
'0:1:8.0,1.6334
'0:1:8.2,1.6327
'0:1:8.4,1.6316
'0:1:8.6,1.6311
'0:1:8.8,1.6300
'0:1:9.0,1.6296
'0:1:9.2,1.6268
'0:1:9.4,1.6260
'0:1:9.6,1.6258
'0:1:9.8,1.6242
'0:1:10.0,1.6227
'0:1:10.2,1.6206
'0:1:10.4,1.6194
'0:1:10.6,1.6183
'0:1:10.8,1.6171
'0:1:11.0,1.6002
'0:1:11.2,1.5958
'0:1:11.4,1.6049
'0:1:11.6,1.6044
'0:1:11.8,1.6171
'0:1:12.0,1.5781
'0:1:12.2,1.5326
'0:1:12.4,1.5284
'0:1:12.6,1.5756
'0:1:12.8,1.5461
'0:1:13.0,1.4355
'0:1:13.2,1.4382
'0:1:13.4,1.4152
'0:1:13.6,1.4002
'0:1:13.8,1.4003
'0:1:14.0,1.3855
'0:1:14.2,1.3799
'0:1:14.4,1.3799
'0:1:14.6,1.3957
'0:1:14.8,1.4211
'0:1:15.0,1.3826
'0:1:15.2,1.3629
'0:1:15.4,1.3952
'0:1:15.6,1.5048
'0:1:15.8,1.4976
'0:1:16.0,1.5561
'0:1:16.2,1.6227
'0:1:16.4,1.5362
'0:1:16.6,1.7186
'0:1:16.8,1.7141
'0:1:17.0,1.6689
'0:1:17.2,1.7315
'0:1:17.4,1.7295
'0:1:17.6,1.7642
'0:1:17.8,1.7759
'0:1:18.0,1.7736
'0:1:18.2,1.7503
'0:1:18.4,1.7564
'0:1:18.6,1.8009
'0:1:18.8,1.8177
'0:1:19.0,1.8350
'0:1:19.2,1.8531
'0:1:19.4,1.8783
'0:1:19.6,1.8992
'0:1:19.8,1.9130
'0:1:20.0,1.9221
'0:1:20.2,1.9110
'0:1:20.4,1.9200
'0:1:20.6,1.6451
'0:1:20.8,1.6465
'0:1:21.0,1.6530
'0:1:21.2,1.6519
'0:1:21.4,1.6363
'0:1:21.6,1.6362
'0:1:21.8,1.6448
'0:1:22.0,1.6454
'0:1:22.2,1.7347
'0:1:22.4,1.9075
'0:1:22.6,1.9486
'0:1:22.8,1.9982
'0:1:23.0,2.0260
'0:1:23.2,2.0358
'0:1:23.4,2.0382
'0:1:23.6,2.0122
'0:1:23.8,2.0093
'0:1:24.0,2.0263
'0:1:24.2,2.0356
'0:1:24.4,2.0327
'0:1:24.6,2.0287
'0:1:24.8,2.0433
'0:1:25.0,2.0533
'0:1:25.2,1.9822
'0:1:25.4,2.0732
'0:1:25.6,2.0778
'0:1:25.8,2.0772
'0:1:26.0,2.0787
'0:1:26.2,2.0837
'0:1:26.4,2.0892
'0:1:26.6,2.0935
'0:1:26.8,2.1040
'0:1:27.0,2.1165
'0:1:27.2,2.0725
'0:1:27.4,2.1670
'0:1:27.6,2.1830
'0:1:27.8,2.1951
'0:1:28.0,2.1899
'0:1:28.2,2.1914
'0:1:28.4,2.2151
'0:1:28.6,2.2273
'0:1:28.8,2.2327
'0:1:29.0,2.2339
'0:1:29.2,2.2361
'0:1:29.4,2.2344
'0:1:29.6,2.2332
'0:1:29.8,2.2241
'0:1:30.0,2.1296
'0:1:30.2,2.2236
'0:1:30.4,2.3010
'0:1:30.6,2.2732
'0:1:30.8,2.2605
'0:1:31.0,2.2558
'0:1:31.2,2.2448
'0:1:31.4,2.3226
'0:1:31.6,2.3581
'0:1:31.8,2.3485
'0:1:32.0,2.3464
'0:1:32.2,2.3487
'0:1:32.4,2.3585
'0:1:32.6,2.3530
'0:1:32.8,2.2710
'0:1:33.0,2.2020
'0:1:33.2,2.1241
'0:1:33.4,2.0981
'0:1:33.6,2.1036
'0:1:33.8,2.0895
'0:1:34.0,2.0304
'0:1:34.2,2.0229
'0:1:34.4,2.0630
'0:1:34.6,2.0858
'0:1:34.8,2.1166
'0:1:35.0,2.1234
'0:1:35.2,2.0818
'0:1:35.4,2.0858
'0:1:35.6,2.0885
'0:1:35.8,2.0917
'0:1:36.0,2.0840
'0:1:36.2,2.0629
'0:1:36.4,2.0878
'0:1:36.6,2.2075
'0:1:36.8,2.2441
'0:1:37.0,2.2616
'0:1:37.2,2.2560
'0:1:37.4,2.2610
'0:1:37.6,2.2389
'0:1:37.8,2.2220
'0:1:38.0,2.2195
'0:1:38.2,2.2282
'0:1:38.4,2.2268
'0:1:38.6,2.2366
'0:1:38.8,2.2679
'0:1:39.0,2.2894
'0:1:39.2,2.3120
'0:1:39.4,2.3287
'0:1:39.6,2.3348
'0:1:39.8,2.3481
'0:1:40.0,2.3481
'0:1:40.2,2.3416
'0:1:40.4,2.3425
'0:1:40.6,2.3358
'0:1:40.8,2.3334
'0:1:41.0,2.3321
'0:1:41.2,2.3287
'0:1:41.4,2.3259
'0:1:41.6,2.3226
'0:1:41.8,2.3153
'0:1:42.0,2.3098
'0:1:42.2,2.3122
'0:1:42.4,2.3126
'0:1:42.6,2.3059
'0:1:42.8,2.2976
'0:1:43.0,2.2931
'0:1:43.2,2.2868
'0:1:43.4,2.2726
'0:1:43.6,2.2517
'0:1:43.8,2.2580
'0:1:44.0,2.2542
'0:1:44.2,2.2357
'0:1:44.4,2.1173
'0:1:44.6,2.0457
'0:1:44.8,1.9942
'0:1:45.0,1.9903
'0:1:45.2,2.0609
