Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.0738
'0:0:0.2,1.0736
'0:0:0.4,1.0732
'0:0:0.6,1.0730
'0:0:0.8,1.0725
'0:0:1.0,1.0721
'0:0:1.2,1.0718
'0:0:1.4,1.0712
'0:0:1.6,1.0710
'0:0:1.8,1.0708
'0:0:2.0,1.0704
'0:0:2.2,1.0699
'0:0:2.4,1.0697
'0:0:2.6,1.0696
'0:0:2.8,1.0691
'0:0:3.0,1.0687
'0:0:3.2,1.0684
'0:0:3.4,1.0679
'0:0:3.6,1.0677
'0:0:3.8,1.0672
'0:0:4.0,1.0669
'0:0:4.2,1.0666
'0:0:4.4,1.0661
'0:0:4.6,1.0659
'0:0:4.8,1.0656
'0:0:5.0,1.0653
'0:0:5.2,1.0650
'0:0:5.4,1.0645
'0:0:5.6,1.0642
'0:0:5.8,1.0639
'0:0:6.0,1.0636
'0:0:6.2,1.0632
'0:0:6.4,1.0627
'0:0:6.6,1.0624
'0:0:6.8,1.0620
'0:0:7.0,1.0617
'0:0:7.2,1.0612
'0:0:7.4,1.0611
'0:0:7.6,1.0608
'0:0:7.8,1.0602
'0:0:8.0,1.0598
'0:0:8.2,1.0594
'0:0:8.4,1.0592
'0:0:8.6,1.0590
'0:0:8.8,1.0589
'0:0:9.0,1.0587
'0:0:9.2,1.0583
'0:0:9.4,1.0579
'0:0:9.6,1.0579
'0:0:9.8,1.0577
'0:0:10.0,1.0574
'0:0:10.2,1.0570
'0:0:10.4,1.0565
'0:0:10.6,1.0562
'0:0:10.8,1.0559
'0:0:11.0,1.0555
'0:0:11.2,1.0550
'0:0:11.4,1.0546
'0:0:11.6,1.0544
'0:0:11.8,1.0540
'0:0:12.0,1.0537
'0:0:12.2,1.0536
'0:0:12.4,1.0536
'0:0:12.6,1.0541
'0:0:12.8,1.0549
'0:0:13.0,1.0555
'0:0:13.2,1.0560
'0:0:13.4,1.0562
'0:0:13.6,1.0564
'0:0:13.8,1.0564
'0:0:14.0,1.0564
'0:0:14.2,1.0563
'0:0:14.4,1.0560
'0:0:14.6,1.0559
'0:0:14.8,1.0555
'0:0:15.0,1.0549
'0:0:15.2,1.0544
'0:0:15.4,1.0538
'0:0:15.6,1.0534
'0:0:15.8,1.0530
'0:0:16.0,1.0525
'0:0:16.2,1.0521
'0:0:16.4,1.0514
'0:0:16.6,1.0510
'0:0:16.8,1.0504
'0:0:17.0,1.0501
'0:0:17.2,1.0496
'0:0:17.4,1.0490
'0:0:17.6,1.0486
'0:0:17.8,1.0482
'0:0:18.0,1.0479
'0:0:18.2,1.0476
'0:0:18.4,1.0469
'0:0:18.6,1.0466
'0:0:18.8,1.0463
'0:0:19.0,1.0460
'0:0:19.2,1.0455
'0:0:19.4,1.0451
'0:0:19.6,1.0449
'0:0:19.8,1.0448
'0:0:20.0,1.0445
'0:0:20.2,1.0443
'0:0:20.4,1.0443
'0:0:20.6,1.0446
'0:0:20.8,1.0450
'0:0:21.0,1.0448
'0:0:21.2,1.0446
'0:0:21.4,1.0439
'0:0:21.6,1.0436
'0:0:21.8,1.0432
'0:0:22.0,1.0430
'0:0:22.2,1.0426
'0:0:22.4,1.0421
'0:0:22.6,1.0418
'0:0:22.8,1.0415
'0:0:23.0,1.0412
'0:0:23.2,1.0407
'0:0:23.4,1.0403
'0:0:23.6,1.0401
'0:0:23.8,1.0398
'0:0:24.0,1.0394
'0:0:24.2,1.0391
'0:0:24.4,1.0388
'0:0:24.6,1.0387
'0:0:24.8,1.0385
'0:0:25.0,1.0383
'0:0:25.2,1.0379
'0:0:25.4,1.0375
'0:0:25.6,1.0374
'0:0:25.8,1.0372
'0:0:26.0,1.0371
'0:0:26.2,1.0369
'0:0:26.4,1.0368
'0:0:26.6,1.0368
'0:0:26.8,1.0366
'0:0:27.0,1.0364
'0:0:27.2,1.0363
'0:0:27.4,1.0360
'0:0:27.6,1.0359
'0:0:27.8,1.0358
'0:0:28.0,1.0356
'0:0:28.2,1.0353
'0:0:28.4,1.0351
'0:0:28.6,1.0352
'0:0:28.8,1.0349
'0:0:29.0,1.0345
'0:0:29.2,1.0344
'0:0:29.4,1.0340
'0:0:29.6,1.0340
'0:0:29.8,1.0336
'0:0:30.0,1.0335
'0:0:30.2,1.0334
'0:0:30.4,1.0331
'0:0:30.6,1.0329
'0:0:30.8,1.0327
'0:0:31.0,1.0325
'0:0:31.2,1.0322
'0:0:31.4,1.0319
'0:0:31.6,1.0318
'0:0:31.8,1.0315
'0:0:32.0,1.0312
'0:0:32.2,1.0310
'0:0:32.4,1.0306
'0:0:32.6,1.0305
'0:0:32.8,1.0301
'0:0:33.0,1.0300
'0:0:33.2,1.0298
'0:0:33.4,1.0295
'0:0:33.6,1.0294
'0:0:33.8,1.0292
'0:0:34.0,1.0289
'0:0:34.2,1.0288
'0:0:34.4,1.0288
'0:0:34.6,1.0289
'0:0:34.8,1.0281
'0:0:35.0,1.0279
'0:0:35.2,1.0277
'0:0:35.4,1.0274
'0:0:35.6,1.0274
'0:0:35.8,1.0271
'0:0:36.0,1.0270
'0:0:36.2,1.0267
'0:0:36.4,1.0264
'0:0:36.6,1.0264
'0:0:36.8,1.0262
'0:0:37.0,1.0261
'0:0:37.2,1.0259
'0:0:37.4,1.0258
'0:0:37.6,1.0258
'0:0:37.8,1.0256
'0:0:38.0,1.0254
'0:0:38.2,1.0254
'0:0:38.4,1.0251
'0:0:38.6,1.0251
'0:0:38.8,1.0250
'0:0:39.0,1.0248
'0:0:39.2,1.0248
'0:0:39.4,1.0245
'0:0:39.6,1.0245
'0:0:39.8,1.0244
'0:0:40.0,1.0242
'0:0:40.2,1.0241
'0:0:40.4,1.0240
'0:0:40.6,1.0242
'0:0:40.8,1.0243
'0:0:41.0,1.0245
'0:0:41.2,1.0246
'0:0:41.4,1.0248
'0:0:41.6,1.0250
'0:0:41.8,1.0251
'0:0:42.0,1.0252
'0:0:42.2,1.0253
'0:0:42.4,1.0253
'0:0:42.6,1.0254
'0:0:42.8,1.0254
'0:0:43.0,1.0258
'0:0:43.2,1.0257
'0:0:43.4,1.0256
'0:0:43.6,1.0256
'0:0:43.8,1.0256
'0:0:44.0,1.0256
'0:0:44.2,1.0256
'0:0:44.4,1.0256
'0:0:44.6,1.0258
'0:0:44.8,1.0259
'0:0:45.0,1.0261
'0:0:45.2,1.0262
'0:0:45.4,1.0264
'0:0:45.6,1.0266
'0:0:45.8,1.0267
'0:0:46.0,1.0265
'0:0:46.2,1.0265
'0:0:46.4,1.0263
'0:0:46.6,1.0263
'0:0:46.8,1.0261
'0:0:47.0,1.0257
'0:0:47.2,1.0259
'0:0:47.4,1.0254
'0:0:47.6,1.0251
'0:0:47.8,1.0249
'0:0:48.0,1.0248
'0:0:48.2,1.0248
'0:0:48.4,1.0246
'0:0:48.6,1.0248
'0:0:48.8,1.0251
'0:0:49.0,1.0253
'0:0:49.2,1.0255
'0:0:49.4,1.0253
'0:0:49.6,1.0255
'0:0:49.8,1.0253
'0:0:50.0,1.0251
'0:0:50.2,1.0250
'0:0:50.4,1.0248
'0:0:50.6,1.0247
'0:0:50.8,1.0242
'0:0:51.0,1.0241
'0:0:51.2,1.0238
'0:0:51.4,1.0234
'0:0:51.6,1.0236
'0:0:51.8,1.0234
'0:0:52.0,1.0234
'0:0:52.2,1.0234
'0:0:52.4,1.0235
'0:0:52.6,1.0237
'0:0:52.8,1.0237
'0:0:53.0,1.0236
'0:0:53.2,1.0234
'0:0:53.4,1.0231
'0:0:53.6,1.0232
'0:0:53.8,1.0230
'0:0:54.0,1.0228
'0:0:54.2,1.0231
'0:0:54.4,1.0227
'0:0:54.6,1.0228
'0:0:54.8,1.0227
'0:0:55.0,1.0220
'0:0:55.2,1.0219
'0:0:55.4,1.0215
'0:0:55.6,1.0218
'0:0:55.8,1.0217
'0:0:56.0,1.0217
'0:0:56.2,1.0216
'0:0:56.4,1.0213
'0:0:56.6,1.0214
'0:0:56.8,1.0214
'0:0:57.0,1.0214
'0:0:57.2,1.0212
'0:0:57.4,1.0208
'0:0:57.6,1.0208
'0:0:57.8,1.0207
'0:0:58.0,1.0207
'0:0:58.2,1.0204
'0:0:58.4,1.0203
'0:0:58.6,1.0206
'0:0:58.8,1.0204
'0:0:59.0,1.0203
'0:0:59.2,1.0203
'0:0:59.4,1.0200
'0:0:59.6,1.0201
'0:0:59.8,1.0202
'0:1:0.0,1.0201
'0:1:0.2,1.0198
'0:1:0.4,1.0197
'0:1:0.6,1.0197
'0:1:0.8,1.0196
'0:1:1.0,1.0196
'0:1:1.2,1.0195
'0:1:1.4,1.0192
'0:1:1.6,1.0191
'0:1:1.8,1.0191
'0:1:2.0,1.0190
'0:1:2.2,1.0189
'0:1:2.4,1.0188
'0:1:2.6,1.0188
'0:1:2.8,1.0189
'0:1:3.0,1.0189
'0:1:3.2,1.0188
'0:1:3.4,1.0187
'0:1:3.6,1.0205
'0:1:3.8,1.0225
'0:1:4.0,1.0227
'0:1:4.2,1.0226
'0:1:4.4,1.0223
'0:1:4.6,1.0222
'0:1:4.8,1.0230
'0:1:5.0,1.0228
'0:1:5.2,1.0225
'0:1:5.4,1.0222
'0:1:5.6,1.0221
'0:1:5.8,1.0218
'0:1:6.0,1.0217
'0:1:6.2,1.0204
'0:1:6.4,1.0201
'0:1:6.6,1.0201
'0:1:6.8,1.0198
'0:1:7.0,1.0197
'0:1:7.2,1.0194
'0:1:7.4,1.0190
'0:1:7.6,1.0190
'0:1:7.8,1.0191
'0:1:8.0,1.0189
'0:1:8.2,1.0191
'0:1:8.4,1.0191
'0:1:8.6,1.0194
'0:1:8.8,1.0192
'0:1:9.0,1.0190
'0:1:9.2,1.0191
'0:1:9.4,1.0190
'0:1:9.6,1.0189
'0:1:9.8,1.0187
'0:1:10.0,1.0186
'0:1:10.2,1.0184
'0:1:10.4,1.0184
'0:1:10.6,1.0181
'0:1:10.8,1.0179
'0:1:11.0,1.0178
'0:1:11.2,1.0175
'0:1:11.4,1.0173
'0:1:11.6,1.0173
'0:1:11.8,1.0171
'0:1:12.0,1.0171
'0:1:12.2,1.0170
'0:1:12.4,1.0168
'0:1:12.6,1.0172
'0:1:12.8,1.0169
'0:1:13.0,1.0168
'0:1:13.2,1.0168
'0:1:13.4,1.0172
'0:1:13.6,1.0182
'0:1:13.8,1.0183
'0:1:14.0,1.0181
'0:1:14.2,1.0180
'0:1:14.4,1.0178
'0:1:14.6,1.0178
'0:1:14.8,1.0176
'0:1:15.0,1.0174
'0:1:15.2,1.0167
'0:1:15.4,1.0163
'0:1:15.6,1.0163
'0:1:15.8,1.0161
'0:1:16.0,1.0159
'0:1:16.2,1.0160
'0:1:16.4,1.0157
'0:1:16.6,1.0157
'0:1:16.8,1.0154
'0:1:17.0,1.0154
'0:1:17.2,1.0151
'0:1:17.4,1.0149
'0:1:17.6,1.0149
'0:1:17.8,1.0147
'0:1:18.0,1.0145
'0:1:18.2,1.0144
'0:1:18.4,1.0145
'0:1:18.6,1.0144
'0:1:18.8,1.0143
'0:1:19.0,1.0145
'0:1:19.2,1.0142
'0:1:19.4,1.0141
'0:1:19.6,1.0142
'0:1:19.8,1.0140
'0:1:20.0,1.0137
'0:1:20.2,1.0135
'0:1:20.4,1.0133
'0:1:20.6,1.0132
'0:1:20.8,1.0131
'0:1:21.0,1.0129
'0:1:21.2,1.0128
'0:1:21.4,1.0125
'0:1:21.6,1.0124
'0:1:21.8,1.0123
'0:1:22.0,1.0122
'0:1:22.2,1.0121
'0:1:22.4,1.0121
'0:1:22.6,1.0126
'0:1:22.8,1.0135
'0:1:23.0,1.0150
'0:1:23.2,1.0160
'0:1:23.4,1.0169
'0:1:23.6,1.0185
'0:1:23.8,1.0199
'0:1:24.0,1.0209
'0:1:24.2,1.0217
'0:1:24.4,1.0222
'0:1:24.6,1.0256
'0:1:24.8,1.0258
'0:1:25.0,1.0261
'0:1:25.2,1.0263
'0:1:25.4,1.0264
'0:1:25.6,1.0275
'0:1:25.8,1.0277
'0:1:26.0,1.0279
'0:1:26.2,1.0281
'0:1:26.4,1.0283
'0:1:26.6,1.0292
'0:1:26.8,1.0299
'0:1:27.0,1.0305
'0:1:27.2,1.0306
'0:1:27.4,1.0302
'0:1:27.6,1.0302
'0:1:27.8,1.0301
'0:1:28.0,1.0299
'0:1:28.2,1.0298
'0:1:28.4,1.0296
'0:1:28.6,1.0296
'0:1:28.8,1.0293
'0:1:29.0,1.0292
'0:1:29.2,1.0296
'0:1:29.4,1.0293
'0:1:29.6,1.0291
'0:1:29.8,1.0291
'0:1:30.0,1.0291
'0:1:30.2,1.0290
'0:1:30.4,1.0300
'0:1:30.6,1.0175
'0:1:30.8,1.0014
'0:1:31.0,1.0030
'0:1:31.2,1.0064
'0:1:31.4,0.9990
'0:1:31.6,1.0068
'0:1:31.8,1.0127
'0:1:32.0,1.0076
'0:1:32.2,0.9921
'0:1:32.4,1.0255
'0:1:32.6,1.0214
'0:1:32.8,1.0208
'0:1:33.0,1.0198
'0:1:33.2,1.0114
'0:1:33.4,1.0166
'0:1:33.6,1.0199
'0:1:33.8,1.0279
'0:1:34.0,1.0317
'0:1:34.2,1.0344
'0:1:34.4,1.0351
'0:1:34.6,1.0380
'0:1:34.8,1.0404
'0:1:35.0,1.0436
'0:1:35.2,1.0464
'0:1:35.4,1.0490
'0:1:35.6,1.0509
'0:1:35.8,1.0524
'0:1:36.0,1.0542
'0:1:36.2,1.0566
'0:1:36.4,1.0593
'0:1:36.6,1.0615
'0:1:36.8,1.0622
'0:1:37.0,1.0645
'0:1:37.2,1.0661
'0:1:37.4,1.0671
'0:1:37.6,1.0684
'0:1:37.8,1.0697
'0:1:38.0,1.0706
'0:1:38.2,1.0724
'0:1:38.4,1.0756
'0:1:38.6,1.0764
'0:1:38.8,1.0768
'0:1:39.0,1.0777
'0:1:39.2,1.0784
'0:1:39.4,1.0792
'0:1:39.6,1.0801
'0:1:39.8,1.0809
'0:1:40.0,1.0815
'0:1:40.2,1.0821
'0:1:40.4,1.0821
'0:1:40.6,1.0825
'0:1:40.8,1.0837
'0:1:41.0,1.0846
'0:1:41.2,1.0861
'0:1:41.4,1.0867
'0:1:41.6,1.0871
'0:1:41.8,1.0877
'0:1:42.0,1.0881
'0:1:42.2,1.0881
'0:1:42.4,1.0879
'0:1:42.6,1.0876
'0:1:42.8,1.0874
'0:1:43.0,1.0873
'0:1:43.2,1.0873
'0:1:43.4,1.0874
'0:1:43.6,1.0876
'0:1:43.8,1.0879
'0:1:44.0,1.0891
'0:1:44.2,1.0896
'0:1:44.4,1.0896
'0:1:44.6,1.0901
'0:1:44.8,1.0899
'0:1:45.0,1.0898
'0:1:45.2,1.0894
